"sys_loadingid","sys_cdc","sys_checksum","bestellungid","kundeid","allglieferadrid","bestelldatum","wunschdatum","rabatt"
1,I,0x4592279746756482d440df4f679d0aefb400bf97645b54dcf5b1f5cd85f27a5d,1,"1",1,2022-03-05,2022-03-06,0.50
1,I,0xd02413472558c8a5e222828e34ac526bd21e478e241c007581bd3b884f558f25,2,"1",120,2022-03-05,2022-03-05,0.00
1,I,0xfcee9e4188ea15bbb47c111249ba2696562aeb9fc01576161c66a836b43070bc,3,"1",530,2022-03-05,2022-03-05,0.00
1,I,0x62217dac9ccccb12943a366b6dbb82551ff27a58f6cfd4c5e97eac3b83f36060,4,"2",275,2022-03-05,2022-03-10,2.50
1,I,0x24f3bdf372e67688a7b9a82f4736762f658f4e14c94c6d1f0a309955fca00fb3,5,"2",631,2022-03-05,2022-03-10,2.50
1,I,0x5fea9fea49c08d7e07758ca19d22c4424356cf596e241465508da2abf2689839,6,"2",686,2022-03-05,2022-03-11,3.00
1,I,0xa1e84f94e2bc378c16b643aba26029103674bf9f3278b00c9d7f055e2c71178a,7,"3",494,2022-03-05,2022-03-13,3.00
1,I,0xaed1cddaac0259471dba7074d9d1fa672771b6fcf538650fb10b293b0e8a5785,8,"3",526,2022-03-05,2022-03-13,3.00
1,I,0xc80b303fea536ff107355637513970477f5f02a988daa04dee66e6bb70be6526,9,"3",568,2022-03-05,2022-03-17,3.00
1,I,0x4f798e840c62ccb024257ad24515e288c6a6e27bddcbaf79741842809abb0665,10,"4",162,2022-03-05,2022-03-05,0.00
1,I,0x3d109abd38f37c47b5da5bbfbfa5e136f1a54a5eccd63ebd4a2a696f1bc8b26c,11,"4",422,2022-03-05,2022-03-12,3.00
1,I,0x1018801604695fbd92e6823c7e7330fa70f38c0f3beb671ca86ee5129de0b455,12,"4",551,2022-03-05,2022-03-17,3.00
1,I,0xf8a0c75dcf979daff697612512ecb2439a7c690161c0bbba5d7d32773cdb8738,13,"5",287,2022-03-05,2022-03-16,3.00
1,I,0xfc4d639ce90cdcd82a6439b1240fcd29ef7f79500d74f0dabf221fdd22fd6580,14,"5",638,2022-03-05,2022-03-12,3.00
1,I,0xdf87855138d7b1e5cda5571bb244178cbab66e4ab32757eeff24c3b5054ee06e,15,"5",721,2022-03-05,2022-03-05,0.00
1,I,0x06aba25cc069c8990b5d55070a928fdfeb9b28a5378f4071d6bc1e370e339caf,16,"6",588,2022-03-05,2022-03-08,1.50
1,I,0xf6416839adf3de2a5fdbc75729b95945b3025831cd375ef7e938b266192a6cce,17,"6",589,2022-03-05,2022-03-13,3.00
1,I,0x47dba8e8917320183feb01089122c44358abdb5068a0733d587dd71a01cf615a,18,"6",627,2022-03-05,2022-03-11,3.00
