"sys_loadingid","sys_cdc","sys_checksum","bestellungid","posid","produktid","spezlieferadrid","menge","preis"
1,I,0xa6cb640b7c15c5d5ceeb3410acc73751c99bbb020d963bc986cb5c4b40c38c28,1,1,1,,1,2.00
1,I,0x23a6af1a6bb9d8602bce5b96665012f72658a7b686ae3a9ce67ee3541e0a2c3e,1,2,2,,4,4.00
1,I,0x7002abbf5c3075de18348e02fc4ff3f74caca62aa977d5414574b2d48f748e53,1,3,3,,9,5.00
1,I,0xed6a84cef6c700f8a3a3b024c5f67c1e8df255030c7d21e1a776a7b6078b5360,2,4,8,,4,8.00
1,I,0x5783cd10746afb19316822acfcb9d3bb506e2cb2e61364e239bf072f0f3360d6,2,5,10,1,4,0.50
1,I,0x7bfa9bdecc88d6955ea6ef22c3e20d3e445d2e4a5446a1b3967a5deaf15061f4,2,6,12,,3,4.00
1,I,0xb0160297621eb06baef36f95bafd222ce94c40870db5076ef3d2e14321c3ffc3,3,7,21,,9,4.00
1,I,0xfe64165e4d3ccf858ba78b4bc20945f628fe42a6fbfae52cd92e4838e57ddfb7,3,8,24,,3,3.00
1,I,0x79e8abbb06ca4809ee25aa6cb5e82a3471e9191aad6d8b56dc5aca2dc101fa39,4,9,36,,3,0.50
1,I,0x085587d43f366db8bbc247da8a239a020e0a4e62d7740ed04a09019334168722,4,10,40,,4,1.00
1,I,0x58ba5bd152d555cf3eb6956680b7f7aaab74205771c1bec76867c4c70421907d,4,11,44,,4,4.00
1,I,0x3eb09a24013e081e4ff50af00610ba2907ec6c3b0edec42438be1044d6543b2c,5,12,60,,3,0.50
1,I,0x651b2e97bdfc95e35379d185e52a6102ae209268f308acd6e34b36a5e0934b64,5,13,65,,1,4.50
1,I,0x7b3edaa5f204788ea5891cf6de832a0c1c6e3c8e40b73768360116ea385d7cf9,6,14,84,,3,0.75
1,I,0x30ac85c9cdc28ba2f477cf90a2dcdbd4c9be9918c3348409e70363bb7356663e,6,15,90,631,3,1.00
1,I,0xbaee08d64365f5f4fcc8609fd7a1b173e84a9a97f9773ff3d7167f9bfdc3cfe3,6,16,96,,3,8.00
1,I,0x3a8bf16704fd2612aca8aa9cc9936c75d5b32432bb9375363f19b5790ebb0538,7,17,119,,1,2.00
1,I,0x588c99645a016ab51bb83ac59399c8d7589c9091aa60f5395e4ac3d7cc7859ca,7,18,126,,3,4.00
1,I,0x0cc7e3896f84e3b9e293dbe9f58cb76ab6a04704a39574f9734b5394ea3ff314,8,19,25,,8,7.00
